Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197325007,Metastatic carcinoma of lymph node of pelvis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197326008,Metastatic carcinoma to lymph node of head and neck (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197327004,Metastatic carcinoma to lymph node of lower limb (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197328009,Metastatic adenocarcinoma to thoracic lymph node (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197329001,Metastatic carcinoma of abdominal lymph node (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197330006,Metastatic adenocarcinoma to lymph nodes of multiple sites (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197331005,Metastatic adenocarcinoma to pelvic lymph node (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197332003,Primary malignant melanoma of central nervous system (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197343006,Primary teratoma of brain (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197523001,Autosomal dominant amyotrophic lateral sclerosis type 1 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1197524007,Autosomal recessive amyotrophic lateral sclerosis type 1 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1201863001,Amyotrophic lateral sclerosis type 1 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1201947005,Juvenile amyotrophic lateral sclerosis type 2 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1201950008,Amyotrophic lateral sclerosis type 3 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1201961000,Juvenile amyotrophic lateral sclerosis type 5 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204200007,Left ventricular failure with normal ejection fraction due to valvular heart disease (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204203009,Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204204003,Left ventricular failure with normal ejection fraction due to myocarditis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204206001,Left ventricular failure with normal ejection fraction due to cardiomyopathy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204334005,Amyotrophic lateral sclerosis type 6 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204349002,Amyotrophic lateral sclerosis type 7 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204350002,Amyotrophic lateral sclerosis type 8 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204351003,Amyotrophic lateral sclerosis type 9 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204460007,Myocardial dysfunction with sepsis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204462004,Left ventricular failure with sepsis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1204468000,Right ventricular failure with sepsis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208412003,Amyotrophic lateral sclerosis type 10 (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208744003,Non-functioning neuroendocrine neoplasm of pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208745002,Serotonin-producing neuroendocrine neoplasm of pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208843003,Right ventricular failure due to heart valve disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208846006,Right ventricular failure due to disorder of lung (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208848007,Right ventricular failure due to disorder of pulmonary circulation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1208850004,Right ventricular failure due to right ventricular infarction (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1217383007,RELA fusion-positive supratentorial ependymoma (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1230308005,Off-periods in Parkinson disease not responding to oral treatment (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236931008,Metastatic carcinoma to body of pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236940007,Metastatic carcinoma to tail of pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236941006,Metastatic carcinoma to intrahepatic bile duct (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236942004,Metastatic carcinoma to ventral surface of tongue (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236943009,Metastatic carcinoma to anterior two-thirds tongue ventrum (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236944003,Metastatic carcinoma to dorsal surface of anterior two-thirds of tongue (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236945002,Metastatic carcinoma to midline of tongue (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236947005,Metastatic carcinoma to dorsal surface of base of tongue (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236948000,Metastatic carcinoma to fallopian tube (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236953005,"Metastatic carcinoma to bone, connective tissue, skin and breast (disorder)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236954004,Metastatic carcinoma to vermilion border of upper lip (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236955003,Metastatic carcinoma to frenum of lip (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236956002,Metastatic carcinoma to frenum of lower lip (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236957006,Metastatic carcinoma to frenum of upper lip (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236958001,Metastatic carcinoma to commissure of lip (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236960004,Metastatic carcinoma to lingual tonsil (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236961000,Metastatic carcinoma to anterior part of floor of mouth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236962007,Metastatic carcinoma to lateral part of floor of mouth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236963002,Metastatic carcinoma to hard palate (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236964008,Metastatic carcinoma to soft palate (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236965009,Metastatic renal cell carcinoma to kidney except renal pelvis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236966005,Metastatic carcinoma to upper buccal sulcus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236967001,Metastatic carcinoma to lower buccal sulcus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236968006,Metastatic carcinoma to upper labial sulcus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1236969003,Metastatic carcinoma to lower labial sulcus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237031003,Metastatic carcinoma to fundus of stomach (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237032005,Metastatic carcinoma to thoracic part of esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237033000,Metastatic carcinoma to sublingual gland (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237034006,Metastatic carcinoma to submandibular gland (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237035007,Metastatic carcinoma to parotid gland (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237036008,Metastatic carcinoma to middle third of esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237037004,Metastatic carcinoma to cervical part of esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237038009,Metastatic carcinoma to abdominal part of esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237039001,Metastatic carcinoma to upper third of esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237041000,Metastatic carcinoma to pylorus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237042007,Metastatic carcinoma to pyloric antrum (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237043002,Metastatic carcinoma to greater curve of stomach (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237044008,Metastatic carcinoma to lesser curve of stomach (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237045009,Metastatic carcinoma to body of stomach (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237046005,Metastatic carcinoma to duodenum (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237047001,Metastatic carcinoma to endocrine pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237048006,Metastatic squamous cell carcinoma to bronchus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237050003,Metastatic carcinoma to cardia of stomach (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237051004,Metastatic carcinoma to lower third of esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237052006,Metastatic carcinoma to axillary tail of breast (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237053001,Metastatic carcinoma to upper inner quadrant of breast (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237055008,Metastatic carcinoma to upper outer quadrant of breast (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237056009,Metastatic carcinoma to lower inner quadrant of breast (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237057000,Metastatic carcinoma to lower outer quadrant of breast (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237341006,Intraductal tubulopapillary malignant neoplasm of pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237372005,Metastatic carcinoma to vagina (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237414000,Metastatic cystadenocarcinoma to kidney (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237415004,Metastatic cystadenocarcinoma to ovary (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237416003,Metastatic cystadenocarcinoma to pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237422007,Metastatic carcinoma to prostate (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237423002,Metastatic carcinoma to glans penis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237424008,Metastatic carcinoma to foreskin (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237425009,Metastatic carcinoma to pituitary (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237426005,Metastatic carcinoma to parathyroid (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237427001,Metastatic carcinoma to cecum (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237428006,Metastatic carcinoma to common bile duct (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237454003,Metastatic carcinoma to splenic flexure (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237455002,Metastatic carcinoma to descending colon (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237456001,Metastatic carcinoma to hepatic flexure (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237457005,Metastatic carcinoma to urinary bladder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237458000,Metastatic carcinoma to transverse colon (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237460003,Metastatic carcinoma to ascending colon (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237461004,Metastatic adenocarcinoma to retinal pigment epithelium (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237465008,Metastatic adenocarcinoma to urinary bladder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237466009,Metastatic squamous cell carcinoma to bronchus of left upper lobe (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237467000,Metastatic squamous cell carcinoma to bronchus of right upper lobe (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237469002,Metastatic squamous cell carcinoma to bronchus of left lower lobe (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237471002,Metastatic squamous cell carcinoma to bronchus of right lower lobe (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237472009,Metastatic squamous cell carcinoma to bronchus of middle lobe of right lung (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237473004,Metastatic carcinoma to head of pancreas (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Advanced Illness,2.16.840.1.113883.3.464.1004.1465,1237474005,Metastatic carcinoma to bone of upper limb (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
